trip_duration,distance_traveled,num_of_passengers,fare,tip,miscellaneous_fees,total_fare,surge_applied
411,1.45,1,48.75,0,13.5,62.25,0
1240,17.45,1,337.5,0,2.25,339.75,0
1244,6.52,1,120,75,26.625,221.625,1
607,5.63,2,93.75,24,26.625,144.375,1
735,3.38,1,78.75,0,6,84.75,0
666,2.8,1,71.25,0,6,77.25,0
456,2,1,52.5,0,6,58.5,0
1066,6.07,1,112.5,24,5.7,142.2,0
435,1.93,1,52.5,13,13.625,79.125,0
1808,6.87,2,157.5,48,34.05,239.55,1
492,3.46,1,63.75,0,13.5,77.25,0
907,4.12,1,93.75,0,13.5,107.25,0
369,1.85,1,48.75,0,6,54.75,0
140,0.97,2,30,9,13.2,52.2,0
1380,6.6,1,131.25,32,26.125,189.375,1
601,2.32,1,63.75,17,6.4,87.15,0
539,2.7,1,60,14,9.7,83.7,0
51,0.39,1,22.5,0,13.5,36,0
4462,18.86,1,375,0,6,381,0
1485,5.95,1,127.5,31,26.45,184.95,1
1252,13.81,1,195,15,9.75,219.75,0
1151,5.15,1,108.75,24,13.875,146.625,0
655,2.98,1,71.25,15,26.625,112.875,1
363,1.9,1,48.75,14,5.65,68.4,0
1089,8.85,1,150,44,26.5,220.5,1
1445,8.72,1,153.75,0,6,159.75,0
746,2.83,1,75,20,26.95,121.95,1
715,2.74,1,71.25,0,6,77.25,0
433,1.95,1,48.75,0,6,54.75,0
1084,5.04,1,108.75,24,13.95,146.7,0
644,2.57,1,63.75,0,6,69.75,0
19,0.29,1,75,0,2.475,77.475,0
1099,4.12,1,101.25,0,6,107.25,0
1060,9.48,1,153.75,0,26.625,180.375,1
388,2.01,1,48.75,6,13.725,68.475,0
746,4.23,1,86.25,0,6,92.25,0
1469,6.29,5,131.25,39,27.075,197.325,1
840,2.53,5,78.75,21,26.7,126.45,1
2158,12.07,1,210,47,26.875,283.875,1
546,3.91,1,75,0,26.625,101.625,1
415,1.61,1,48.75,0,6,54.75,0
1485,14.73,5,210,0,6,216,0
467,2.08,1,52.5,22,6.5,81,0
936,3.33,5,86.25,0,9.75,96,0
465,3.49,2,63.75,0,6,69.75,0
725,7.24,1,112.5,42,26.25,180.75,1
587,2.8,1,63.75,14,5.95,83.7,0
555,2.57,1,60,0,6,66,0
616,3.15,1,71.25,20,26.2,117.45,1
925,3.7,1,86.25,28,26.825,141.075,1
802,3.69,1,78.75,17,5.95,101.7,0
973,4.33,1,93.75,21,9.45,124.2,0
823,4.55,1,90,23,26.95,139.95,1
494,2.09,1,56.25,16,5.6,77.85,0
937,11.64,1,165,57,27.075,249.075,1
856,2.75,6,78.75,0,6,84.75,0
1032,5.02,1,105,13,6.125,124.125,0
387,2,1,48.75,0,6,54.75,0
826,7.26,1,116.25,25,9.95,151.2,0
610,3.33,1,75,0,6,81,0
843,4.18,1,86.25,22,27.125,135.375,1
422,1.8,1,48.75,0,6,54.75,0
1230,4.46,1,105,0,6,111,0
665,3.54,1,75,20,33.775,128.775,1
1050,5.75,1,108.75,31,13.1,152.85,0
764,2.45,1,67.5,0,13.5,81,0
986,11.14,1,161.25,8,54.625,223.875,0
1411,4.46,1,120,27,13.2,160.2,0
1433,7.1,6,135,32,26.95,193.95,1
288,1.92,1,45,15,9.75,69.75,0
84860,1.43,1,52.5,18,5.55,76.05,0
1169,6.31,3,120,0,6,126,0
441,2.11,1,52.5,12,5.7,70.2,0
814,4.55,1,90,26,13.375,129.375,0
377,1.45,1,45,10,6.2,61.2,0
670,2.49,1,67.5,38,33.625,139.125,1
316,1.67,1,90,0,2.25,92.25,0
345,1.03,1,41.25,11,13.45,65.7,0
944,2.9,1,75,0,2.25,77.25,0
514,2.35,1,56.25,0,6,62.25,0
277,2.04,1,45,12,13.2,70.2,0
1667,12.44,1,198.75,22,27.125,247.875,1
1005,5.78,1,108.75,27,26.7,162.45,1
1859,5.47,1,153.75,36,26.7,216.45,1
373,1.9,2,45,15,6.3,66.3,0
1853,9.67,1,168.75,0,13.5,182.25,0
1256,4.59,1,112.5,15,13.5,141,0
847,2.72,1,78.75,17,5.95,101.7,0
1447,17.62,1,240,75,9.675,324.675,0
467,2.64,1,60,8,9.25,77.25,0
1284,6.55,1,127.5,27,10.2,164.7,0
230,1.21,1,37.5,9,5.7,52.2,0
393,1.85,1,45,15,6.3,66.3,0
855,4.44,1,86.25,23,26.2,135.45,1
338,1.54,1,41.25,0,9.75,51,0
304,2.32,1,75,8,1.75,84.75,0
1058,3.22,1,93.75,0,13.5,107.25,0
978,3.65,5,90,0,6,96,0
1135,4.31,1,105,38,13,156,0
475,2.03,1,56.25,12,6.45,74.7,0
519,2.12,1,56.25,9,6.3,71.55,0
887,4.47,1,93.75,8,26.125,127.875,1
731,5.09,1,90,24,6,120,0
491,3.56,1,67.5,0,6,73.5,0
181,0.9,1,30,9,6,45,0
959,13.87,1,187.5,0,6,193.5,0
1024,7.89,1,120,29,26.875,175.875,1
787,3.96,2,82.5,22,26.45,130.95,1
1114,11.27,1,161.25,43,55.25,259.5,0
1046,3.54,1,90,0,13.5,103.5,0
741,3.73,1,82.5,15,26.625,124.125,1
715,2.04,1,67.5,0,6,73.5,0
3446,27.07,1,393.75,22,55.625,471.375,0
1190,5.41,1,116.25,45,34.275,195.525,1
843,8.24,1,127.5,27,10.2,164.7,0
738,2.56,1,71.25,15,6.45,92.7,0
314,1.45,1,45,20,33.925,98.925,1
681,2.27,1,63.75,0,6,69.75,0
819,4.35,1,86.25,0,6,92.25,0
2190,6.32,1,172.5,0,6,178.5,0
1225,11.1,1,176.25,42,34.125,252.375,1
744,2.66,1,75,8,5.5,88.5,0
252,1.29,1,37.5,0,6,43.5,0
532,1.82,1,56.25,0,6,62.25,0
385,2.62,1,56.25,13,9.95,79.2,0
872,3.85,1,90,4,33.875,127.875,1
1344,6.61,6,131.25,0,6,137.25,0
929,4.52,1,97.5,15,6,118.5,0
394,1.4,1,45,0,13.5,58.5,0
1046,2.78,2,75,0,2.25,77.25,0
3524,20.58,1,341.25,0,13.5,354.75,0
684,8.51,1,127.5,47,28.3,202.8,0
913,5.52,1,101.25,26,26.2,153.45,1
116,0.16,1,22.5,0,6,28.5,0
865,2.93,1,78.75,0,6,84.75,0
1321,6.61,1,127.5,0,6,133.5,0
616,2.9,1,67.5,16,13.7,97.2,0
583,2.24,1,60,8,33.625,101.625,1
686,2.62,5,67.5,0,9.75,77.25,0
435,1.96,1,52.5,0,6,58.5,0
683,3.17,3,71.25,20,10,101.25,0
445,2.16,1,52.5,9,5.775,67.275,0
739,3.2,1,75,0,6,81,0
1563,10.44,1,183.75,42,26.7,252.45,1
1774,9.25,1,180,0,55.125,235.125,0
1396,8.21,1,142.5,0,26.625,169.125,1
1058,3.7,1,93.75,0,13.5,107.25,0
311,1.42,1,41.25,0,6,47.25,0
659,3.25,1,67.5,0,26.625,94.125,1
602,2.82,1,67.5,16,13.7,97.2,0
473,1.59,1,52.5,0,6,58.5,0
365,1.67,1,45,16,33.95,94.95,1
569,2.09,1,56.25,0,13.5,69.75,0
1506,5.36,1,127.5,0,26.625,154.125,1
676,6.82,1,112.5,24,5.7,142.2,0
2012,7.24,1,165,0,6,171,0
518,2.03,1,56.25,0,6,62.25,0
1015,4.83,1,97.5,0,6,103.5,0
885,5.07,2,97.5,21,5.7,124.2,0
184,0.77,2,30,0,9.75,39.75,0
828,13.24,1,176.25,69,55.575,300.825,0
1227,6.94,2,123.75,0,26.625,150.375,1
4339,8.19,2,303.75,0,9.75,313.5,0
815,7.95,1,127.5,0,26.625,154.125,1
633,4.01,1,78.75,0,6,84.75,0
809,3.99,1,86.25,20,13.45,119.7,0
529,2.03,1,60,0,9.75,69.75,0
416,3.17,1,63.75,0,6,69.75,0
681,4.39,1,82.5,0,6,88.5,0
264,1.3,1,37.5,0,6,43.5,0
617,3.59,1,71.25,0,9.75,81,0
1436,18.85,2,255,0,6,261,0
2438,2.86,1,180,0,13.5,193.5,0
4016,12.92,1,326.25,0,13.5,339.75,0
1339,4.89,1,112.5,15,6,133.5,0
741,2.37,1,71.25,15,6.45,92.7,0
560,1.83,1,56.25,0,6,62.25,0
2,2.9,1,18.75,0,6,24.75,0
1506,5.15,1,127.5,0,26.625,154.125,1
343,1.61,1,45,11,9.7,65.7,0
490,3.01,1,63.75,0,9.75,73.5,0
1213,4.73,1,112.5,0,6,118.5,0
1833,5.79,2,150,0,26.625,176.625,1
1600,5.15,1,135,30,13.125,178.125,0
714,2.83,6,71.25,15,6.45,92.7,0
1117,5.79,1,112.5,25,13.625,151.125,0
1074,3.14,1,90,19,6.2,115.2,0
595,1.74,1,60,0,6,66,0
476,2.49,1,56.25,0,6,62.25,0
318,1.58,1,41.25,0,6,47.25,0
659,4.06,1,78.75,8,26.125,112.875,1
3266,30.14,1,408.75,83,5.95,497.7,0
221,1.66,1,37.5,0,6,43.5,0
563,3.01,1,67.5,0,9.75,77.25,0
1888,7.24,1,161.25,38,26.2,225.45,1
958,6.49,5,112.5,0,34.125,146.625,1
397,2.03,1,52.5,0,30.375,82.875,1
531,2.32,4,60,0,6,66,0
1827,11.14,1,187.5,44,34.45,265.95,1
433,3.86,1,63.75,28,30.5,122.25,1
671,1.42,1,60,6,6,72,0
15,2.9,1,18.75,0,6,24.75,0
392,1.32,1,45,0,6,51,0
2225,10.99,1,217.5,38,5.5,261,0
357,1.98,1,45,8,26.125,79.125,1
864,2.78,1,75,0,13.5,88.5,0
486,2.09,3,52.5,0,6,58.5,0
698,5.13,1,90,0,6,96,0
687,3.59,1,78.75,0,9.75,88.5,0
742,4.1,1,86.25,23,30.7,139.95,1
795,2.41,1,71.25,19,6.35,96.6,0
955,13.78,1,180,47,10.15,237.15,0
1076,5.04,1,108.75,23,5.95,137.7,0
1181,12.15,1,176.25,41,26.2,243.45,1
1570,3.59,1,127.5,31,26.45,184.95,1
859,3.51,1,82.5,22,26.45,130.95,1
2112,16.58,1,243.75,30,26.25,300,1
934,3.22,1,86.25,20,13.375,119.625,0
278,1.06,1,37.5,0,6,43.5,0
264,0.97,1,37.5,0,6,43.5,0
1493,5.21,1,131.25,15,34.125,180.375,1
1024,9.32,1,142.5,19,30.125,191.625,1
1271,5.38,2,116.25,0,6,122.25,0
702,3.73,1,75,21,30.45,126.45,1
1187,13.15,1,195,40,6.2,241.2,0
416,3.11,1,56.25,9,9.9,75.15,0
483,3.06,1,60,11,30.625,101.625,1
450,1.4,1,48.75,0,6,54.75,0
435,1.27,6,48.75,0,6,54.75,0
370,2.16,1,48.75,0,9.75,58.5,0
2587,8.92,1,202.5,22,27.125,251.625,1
279,1.54,1,41.25,0,6,47.25,0
1276,9.82,1,165,0,55.125,220.125,0
637,4.75,1,82.5,0,6,88.5,0
886,6.6,1,112.5,29,34.375,175.875,1
1738,7.11,1,150,33,13.2,196.2,0
321,0.69,2,37.5,0,13.5,51,0
1224,7.16,2,131.25,22,27.125,180.375,1
288,1,1,37.5,0,9.75,47.25,0
612,2.09,1,63.75,13,9.5,86.25,0
1890,17.59,1,262.5,72,26.925,361.425,1
836,4.83,6,97.5,8,9.25,114.75,0
832,4.38,1,90,0,2.25,92.25,0
200,1.29,2,33.75,0,9.75,43.5,0
496,1.95,2,56.25,17,30.7,103.95,1
887,4.35,1,93.75,8,5.5,107.25,0
314,1.19,1,41.25,9,6.45,56.7,0
644,2.98,1,67.5,19,26.45,112.95,1
1520,10.86,1,180,38,33.625,251.625,1
144,0.42,6,26.25,20,6.25,52.5,0
187,0.68,1,30,15,9.75,54.75,0
440,1.93,2,52.5,20,26.125,98.625,1
1154,5.7,1,112.5,28,26.45,166.95,1
409,3.22,1,63.75,0,9.75,73.5,0
193,0.87,1,33.75,14,13.675,61.425,0
817,3.36,1,82.5,14,6.175,102.675,0
704,3.38,1,78.75,0,6,84.75,0
1403,4.78,1,116.25,30,34.2,180.45,1
3,0.02,1,69.75,0,2.25,72,0
335,1.45,1,41.25,0,13.5,54.75,0
423,1.51,1,48.75,11,5.95,65.7,0
761,4.73,1,150,0,2.25,152.25,0
187,0.72,6,30,8,13,51,0
1227,12.87,1,187.5,0,9.75,197.25,0
823,3.86,1,86.25,22,27.125,135.375,1
85999,5.41,2,262.5,0,2.25,264.75,0
505,2.12,1,56.25,14,13.45,83.7,0
484,1.92,1,52.5,19,9.425,80.925,0
318,2,1,45,0,13.5,58.5,0
993,6.13,1,112.5,28,26.45,166.95,1
1371,7.47,2,142.5,15,26.625,184.125,1
370,1.88,1,48.75,0,13.5,62.25,0
199,0.9,1,30,0,6,36,0
452,2.78,1,56.25,25,26.525,107.775,1
439,2.46,1,56.25,0,6,62.25,0
896,7.82,1,123.75,32,33.7,189.45,1
1333,6.81,1,127.5,0,13.5,141,0
904,3.14,1,82.5,18,5.7,106.2,0
1433,6.44,1,127.5,13,6.35,146.85,0
1147,11.14,1,161.25,22,10.25,193.5,0
1100,4.39,1,105,41,30.025,176.025,1
1426,6.76,1,135,0,30.375,165.375,1
1678,15.72,1,236.25,49,9.95,295.2,0
578,1.64,1,56.25,17,13.9,87.15,0
494,2.62,1,56.25,8,26.125,90.375,1
1810,4.12,1,142.5,0,6,148.5,0
504,3.49,1,67.5,15,10.2,92.7,0
236,0.95,1,33.75,12,5.925,51.675,0
13,1.29,1,18.75,0,6,24.75,0
1841,11.14,1,187.5,0,30.375,217.875,1
701,3.99,2,75,0,26.625,101.625,1
1420,5.84,1,127.5,40,34.55,202.05,1
179,0.97,1,33.75,12,5.925,51.675,0
132,0.9,1,30,0,6,36,0
125,0.53,1,26.25,7,5.6,38.85,0
371,2.25,1,52.5,0,9.75,62.25,0
508,2.09,1,52.5,0,34.125,86.625,1
694,1.43,1,60,0,6,66,0
1707,6.5,2,150,31,6.2,187.2,0
1428,10.43,1,180,46,6.5,232.5,0
1552,8.61,1,161.25,43,55.4,259.65,0
457,1.96,1,48.75,11,26.95,86.7,1
1059,5.04,1,108.75,15,30.375,154.125,1
933,3.01,1,86.25,0,13.5,99.75,0
2331,21.87,1,311.25,0,6,317.25,0
590,3.06,2,67.5,0,6,73.5,0
881,2.53,6,78.75,0,6,84.75,0
826,4.1,1,86.25,23,26.2,135.45,1
1099,12.84,1,615,0,2.25,617.25,0
2131,6.95,1,165,38,26.95,229.95,1
2395,14.02,1,247.5,0,6,253.5,0
496,1.92,1,56.25,14,13.45,83.7,0
228,0.71,1,33.75,0,9.75,43.5,0
276,1.32,1,41.25,13,9.5,63.75,0
626,2.35,2,60,0,9.75,69.75,0
631,1.5,1,60,0,13.5,73.5,0
373,1.21,1,45,0,26.625,71.625,1
598,2.16,1,60,0,6,66,0
773,2.41,1,71.25,13,5.75,90,0
96,1.06,1,30,0,9.75,39.75,0
1046,4.39,1,101.25,0,13.5,114.75,0
2402,11.8,1,225,0,13.5,238.5,0
637,1.63,1,60,17,26.95,103.95,1
999,2.82,1,86.25,23,6.1,115.35,0
1439,4.36,2,116.25,30,34.2,180.45,1
1130,4.96,1,108.75,27,26.7,162.45,1
487,1.38,1,48.75,0,6,54.75,0
1094,4.78,1,105,0,26.625,131.625,1
216,1.45,1,37.5,14,34.45,85.95,1
195,0.97,1,33.75,9,9.375,52.125,0
1001,4.17,1,93.75,20,5.95,119.7,0
1049,12.2,1,168.75,50,30.175,248.925,1
936,4.22,1,93.75,24,26.7,144.45,1
748,4.18,1,82.5,17,34.6,134.1,1
662,2.74,1,67.5,15,5.7,88.2,0
83458,3.17,1,75,5,34.6,114.6,1
752,4.39,1,90,0,9.75,99.75,0
450,2.48,1,56.25,18,34.2,108.45,1
1136,3.3,5,86.25,0,26.625,112.875,1
661,3.67,1,75,16,6.2,97.2,0
515,2.56,1,63.75,18,26.7,108.45,1
879,5.54,1,97.5,21,5.7,124.2,0
1099,3.99,1,101.25,0,13.5,114.75,0
770,6.6,3,105,33,26.25,164.25,1
702,3.38,1,75,0,6,81,0
897,3.91,1,90,0,2.25,92.25,0
761,3.01,1,75,0,6,81,0
974,4.01,1,97.5,0,6,103.5,0
734,2.7,1,71.25,0,6,77.25,0
795,8.61,1,131.25,0,26.625,157.875,1
1057,2.57,1,86.25,20,13.45,119.7,0
401,1.45,1,45,0,6,51,0
1102,4.51,1,105,13,26.825,144.825,1
873,9.03,1,135,0,6,141,0
544,1.83,1,56.25,0,13.5,69.75,0
478,3.41,1,63.75,22,9.8,95.55,0
565,1.87,1,56.25,0,6,62.25,0
525,2.59,1,60,17,10.15,87.15,0
472,2.53,1,56.25,21,13.425,90.675,0
471,1.13,1,48.75,0,6,54.75,0
240,2.12,1,41.25,10,9.95,61.2,0
758,1.59,1,67.5,16,13.7,97.2,0
351,1.29,1,45,0,6,51,0
1025,12.79,1,176.25,0,6,182.25,0
677,2.49,1,67.5,15,5.7,88.2,0
1945,4.67,2,150,44,26.5,220.5,1
512,2.54,1,56.25,0,13.5,69.75,0
1048,5.63,2,112.5,29,29.95,171.45,1
602,2.12,1,60,0,6,66,0
1458,5.63,1,131.25,0,26.625,157.875,1
319,1.14,1,41.25,0,6,47.25,0
504,2.86,1,63.75,4,6.125,73.875,0
960,12.47,1,172.5,0,55.125,227.625,0
284,1.45,1,41.25,0,6,47.25,0
379,1.48,1,45,0,13.5,58.5,0
1670,8.95,1,157.5,15,6,178.5,0
445,3.15,1,60,8,9.25,77.25,0
870,2.77,1,78.75,0,6,84.75,0
262,1.24,1,37.5,13,13.25,63.75,0
817,2.01,1,71.25,0,6,77.25,0
684,2.93,1,71.25,0,34.125,105.375,1
292,1.21,1,41.25,9,6.45,56.7,0
429,1.79,1,52.5,0,6,58.5,0
1050,3.98,1,90,19,6.2,115.2,0
251,1.14,1,37.5,15,6,58.5,0
707,2.19,1,67.5,0,13.5,81,0
443,1.61,1,48.75,8,13,69.75,0
1204,4.8,1,108.75,23,5.95,137.7,0
511,1.75,1,52.5,12,10.2,74.7,0
135,0.53,1,26.25,0,6,32.25,0
2802,45.46,6,701.25,0,90.375,791.625,0
611,2.4,1,63.75,21,5.925,90.675,0
1369,3.38,1,116.25,0,6,122.25,0
955,17.24,1,221.25,57,5.85,284.1,0
2687,23.64,1,345,94,30.2,469.2,1
415,1.87,1,48.75,0,26.625,75.375,1
654,2.59,1,67.5,15,5.7,88.2,0
2251,10.65,1,198.75,42,13.95,254.7,0
2540,12.23,1,243.75,0,13.5,257.25,0
328,0.97,1,41.25,0,6,47.25,0
331,1.69,1,45,0,9.75,54.75,0
2195,5.57,1,176.25,0,6,182.25,0
396,1.77,1,48.75,11,5.875,65.625,0
1128,3.54,1,112.5,0,2.25,114.75,0
632,2.53,1,67.5,0,13.5,81,0
1370,4.43,1,116.25,0,26.625,142.875,1
967,3.15,1,86.25,30,34.2,150.45,1
2516,11.91,1,228.75,47,5.95,281.7,0
159,1.29,1,33.75,7,9.275,50.025,0
733,3.25,1,75,13,26.75,114.75,1
325,1.77,2,45,10,6.2,61.2,0
892,4.96,1,97.5,0,6,103.5,0
326,0.74,1,41.25,0,6,47.25,0
928,4.09,1,90,23,26.95,139.95,1
248,1.53,6,41.25,11,13.45,65.7,0
1423,15.37,2,221.25,0,9.75,231,0
476,1.46,1,52.5,0,6,58.5,0
410,1.69,1,48.75,16,6.425,71.175,0
559,2.54,1,60,15,6,81,0
426,1.45,1,48.75,0,13.5,62.25,0
290,1.29,1,41.25,9,6.375,56.625,0
502,2.27,1,60,15,13.2,88.2,0
715,3.54,1,75,22,33.875,130.875,1
772,4.14,1,82.5,0,26.625,109.125,1
1329,6.26,1,127.5,30,9.75,167.25,0
494,1.88,1,52.5,18,5.55,76.05,0
1991,7.66,1,161.25,15,26.625,202.875,1
1081,6.57,1,112.5,0,26.625,139.125,1
1806,8.51,1,165,0,13.5,178.5,0
444,1.77,1,48.75,12,9.375,70.125,0
442,1.26,1,48.75,15,9.375,73.125,0
1890,4.6,1,146.25,22,27.125,195.375,1
1012,3.01,1,90,0,13.5,103.5,0
521,1.42,1,52.5,0,6,58.5,0
1226,9.64,1,153.75,8,29.875,191.625,1
1738,7.5,1,153.75,0,6,159.75,0
1143,6.12,1,112.5,0,34.125,146.625,1
566,3.22,1,71.25,15,6.375,92.625,0
1138,7.97,1,142.5,30,26.625,199.125,1
696,3.03,1,71.25,23,6.175,100.425,0
632,2.78,1,67.5,0,6,73.5,0
953,5.79,1,105,26,26.95,157.95,1
1229,5.65,1,120,8,26.125,154.125,1
780,4.39,1,86.25,23,26.2,135.45,1
1322,12.94,1,282.75,57,2.25,342,0
486,2.38,1,56.25,6,6.225,68.475,0
1078,3.33,1,93.75,28,27.125,148.875,1
121,0.6,2,26.25,15,9.75,51,0
785,1.61,1,67.5,15,10.125,92.625,0
814,3.38,1,78.75,0,6,84.75,0
659,2.61,1,67.5,0,9.75,77.25,0
1209,4.68,1,108.75,29,33.7,171.45,1
250,1.26,1,37.5,0,6,43.5,0
952,3.77,1,90,23,26.95,139.95,1
28750,16.98,1,277.5,0,6,283.5,0
735,1.92,1,67.5,0,6,73.5,0
346,2.17,1,48.75,1,5.6,55.35,0
760,4.04,1,78.75,21,26.7,126.45,1
341,1.01,1,41.25,11,13.45,65.7,0
1429,7.9,1,153.75,36,26.7,216.45,1
334,2.04,1,48.75,18,9.3,76.05,0
333,1.43,1,41.25,0,6,47.25,0
280,2.12,1,45,15,6.3,66.3,0
1431,5.1,3,67.5,0,2.25,69.75,0
957,3.54,2,86.25,0,13.5,99.75,0
439,1.77,1,48.75,15,6,69.75,0
955,9.91,2,142.5,0,6,148.5,0
179,0.72,1,30,0,6,36,0
1016,4.2,5,97.5,21,5.7,124.2,0
409,2.32,1,52.5,8,5.5,66,0
5276,16.22,1,390,0,6,396,0
254,1.06,1,37.5,0,13.5,51,0
1134,4.81,1,101.25,0,26.625,127.875,1
1037,10.62,1,161.25,0,26.625,187.875,1
209,2.74,1,48.75,0,9.75,58.5,0
796,2.57,1,71.25,0,6,77.25,0
214,1.14,1,33.75,19,30.575,83.325,1
318,1.38,1,562.5,113,2.2,677.7,0
741,4.23,1,82.5,19,13.7,115.2,0
1113,16.24,1,225,45,2.7,272.7,0
1848,27.05,1,375,0,2.25,377.25,0
1173,7.4,1,127.5,0,6,133.5,0
1117,4.99,1,108.75,0,26.625,135.375,1
431,2.2,1,52.5,12,10.2,74.7,0
647,2.22,1,63.75,0,6,69.75,0
3796,7.9,1,281.25,0,6,287.25,0
937,3.62,1,90,20,9.7,119.7,0
178,0.77,1,30,8,5.5,43.5,0
436,2.04,1,48.75,0,6,54.75,0
654,2.57,1,67.5,0,6,73.5,0
549,3.17,1,67.5,14,26.725,108.225,1
983,3.19,2,90,25,33.95,148.95,1
453,2.43,1,56.25,8,5.5,69.75,0
273,1.06,2,37.5,0,6,43.5,0
754,1.61,1,67.5,0,13.5,81,0
1126,10.81,6,168.75,0,55.125,223.875,0
869,3.22,1,82.5,0,6,88.5,0
1176,5.71,1,112.5,28,26.45,166.95,1
663,2.96,1,67.5,0,6,73.5,0
1225,5.34,1,116.25,15,26.625,157.875,1
765,3.67,1,78.75,15,13.5,107.25,0
806,7.39,1,116.25,0,6,122.25,0
2100,15.1,1,247.5,0,6,253.5,0
741,2.9,1,71.25,0,13.5,84.75,0
761,4.47,2,90,0,9.75,99.75,0
1158,4.83,2,112.5,29,34.375,175.875,1
903,5.47,1,101.25,0,26.625,127.875,1
713,3.22,1,75,18,13.2,106.2,0
728,2.03,5,67.5,0,6,73.5,0
1339,13.84,1,195,25,26.6,246.6,1
568,2.41,1,60,18,13.875,91.875,0
93,0.6,1,26.25,0,9.75,36,0
1066,2.67,1,86.25,18,6.45,110.7,0
47406,6.12,1,93.75,20,5.95,119.7,0
652,2.95,1,67.5,11,6.025,84.525,0
409,1.72,1,48.75,18,9.3,76.05,0
500,1.87,1,56.25,16,5.6,77.85,0
895,3.7,1,90,29,5.8,124.8,0
2169,10.69,1,198.75,15,6,219.75,0
892,3.38,1,86.25,15,6,107.25,0
608,4.83,1,75,0,30.375,105.375,1
319,1.03,2,41.25,0,9.75,51,0
567,6.34,1,97.5,0,6,103.5,0
1422,9.95,1,161.25,28,26.825,216.075,1
360,1.51,1,45,16,10.175,71.175,0
831,3.48,2,82.5,15,6,103.5,0
2059,10.04,1,202.5,42,5.7,250.2,0
397,2.06,1,52.5,19,9.425,80.925,0
576,6.49,1,101.25,0,6,107.25,0
1058,5.31,2,101.25,0,6,107.25,0
1397,6.26,2,135,22,27.125,184.125,1
575,6.44,1,101.25,0,6,107.25,0
343,1.92,1,48.75,0,6,54.75,0
1279,5.01,2,112.5,0,6,118.5,0
61,0.16,2,22.5,0,6,28.5,0
470,2.54,1,56.25,12,6.45,74.7,0
1386,5.79,1,123.75,27,13.95,164.7,0
521,2.41,5,60,0,9.75,69.75,0
653,3.59,1,78.75,0,26.625,105.375,1
644,2.37,1,63.75,0,13.5,77.25,0
1618,16.17,2,427.5,0,2.25,429.75,0
750,3.06,1,71.25,21,34.2,126.45,1
715,2.48,1,71.25,8,5.5,84.75,0
1040,7.02,1,120,0,13.5,133.5,0
878,4.06,1,86.25,0,6,92.25,0
509,2.25,1,56.25,14,13.45,83.7,0
654,2.88,1,67.5,0,6,73.5,0
384,1.8,1,48.75,0,6,54.75,0
579,1.51,1,56.25,0,6.075,62.325,0
510,2.25,1,56.25,0,6,62.25,0
1728,8.72,1,172.5,0,26.625,199.125,1
2712,13.24,1,243.75,7,9.35,260.1,0
848,1.05,1,71.25,24,27.075,122.325,1
1140,10.2,1,153.75,0,6,159.75,0
324,0.98,1,37.5,0,13.5,51,0
502,2.09,1,56.25,0,6,62.25,0
563,1.71,2,52.5,0,6,58.5,0
1089,6.92,1,116.25,0,9.75,126,0
1237,4.3,1,101.25,26,26.2,153.45,1
1014,4.59,1,97.5,0,13.5,111,0
1129,3.85,1,105,0,6,111,0
538,1.93,1,56.25,18,34.2,108.45,1
1229,4.72,1,112.5,0,26.625,139.125,1
851,2.27,1,75,16,6.2,97.2,0
1026,6,5,108.75,27,26.7,162.45,1
278,2.09,1,45,38,5.5,88.5,0
552,2.32,2,56.25,3,6.15,65.4,0
646,4.36,1,78.75,8,9.25,96,0
951,6.76,5,116.25,14,26.875,157.125,1
1388,6.32,1,123.75,27,9.45,160.2,0
1061,9.01,1,142.5,22,27.125,191.625,1
474,2.35,1,56.25,0,9.75,66,0
791,6.28,5,101.25,23,13.45,137.7,0
1679,10.14,2,176.25,0,13.5,189.75,0
1113,12.6,1,183.75,22,30.875,236.625,1
689,5.83,1,101.25,0,9.75,111,0
258,2.16,1,45,15,13.125,73.125,0
754,3.15,1,75,38,5.5,118.5,0
1897,7.48,1,153.75,0,9.75,163.5,0
1030,3.6,1,93.75,30,26.7,150.45,1
770,4.06,1,82.5,0,34.125,116.625,1
261,0.9,3,37.5,8,5.5,51,0
936,2.46,1,78.75,45,26.625,150.375,1
20,0.64,2,135,27,0,162,0
3251,18.41,1,318.75,0,26.625,345.375,1
945,4.54,1,93.75,30,26.7,150.45,1
755,3.83,1,82.5,8,26.125,116.625,1
309,1.43,1,41.25,14,26.2,81.45,1
637,9.17,1,131.25,0,6,137.25,0
964,4.63,1,93.75,0,34.125,127.875,1
492,1.79,1,56.25,10,27.125,93.375,1
382,1.82,1,45,8,5.5,58.5,0
800,5.5,4,93.75,21,13.95,128.7,0
345,2.66,1,52.5,0,9.75,62.25,0
1048,6.63,1,116.25,0,13.5,129.75,0
569,2.38,1,60,9,6,75,0
1360,6.44,1,108.75,0,6,114.75,0
337,2.08,1,45,15,6.3,66.3,0
1166,4.23,1,108.75,29,5.65,143.4,0
